                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                  1.777,                 3.3048,                 2.0104,                0.26575,                0.23755,                0.14149,                0.06435,                 1.7481,                 2.8921,                 2.2199,                 0.0706,              0.0032667,              0.0032667
                      1,                 1.5817,                 2.3318,                 1.7994,                0.45883,                0.29885,                0.23254,                0.11671,                 1.8595,                 2.5155,                 2.2512,               0.040535,              0.0065347,              0.0065347
                      2,                 1.5999,                 2.4449,                 1.7949,                0.29426,                0.29119,                0.16484,                 0.0709,                 2.1225,                 2.8296,                 2.5344,               0.010403,              0.0097367,              0.0097367
                      3,                 1.7248,                  2.361,                 1.8821,                0.18262,                0.35353,                0.16196,                0.07257,                 2.1065,                 2.8264,                 2.4167,               0.009703,               0.009703,               0.009703
                      4,                 1.7069,                 2.2884,                 1.8592,                0.27405,                0.29119,                0.19309,                0.07094,                 2.2304,                 3.3953,                  2.762,               0.009703,               0.009703,               0.009703
                      5,                 1.8326,                 2.3589,                 1.9872,                0.13776,                0.20307,                0.07317,                0.02601,                 2.2721,                  3.708,                 2.8571,               0.009604,               0.009604,               0.009604
                      6,                  1.774,                 2.3576,                   1.94,                0.20245,                0.24138,                0.11634,                0.04523,                  1.973,                  3.157,                 2.4491,               0.009505,               0.009505,               0.009505
                      7,                 1.8139,                 2.3295,                 1.9623,                0.18043,                0.33716,                0.11948,                0.04647,                 2.0162,                 3.1484,                 2.4262,               0.009406,               0.009406,               0.009406
                      8,                 1.7218,                 2.2374,                 1.9022,                0.46066,                0.33716,                0.29314,                0.13856,                 1.7817,                 2.4637,                 2.2299,               0.009307,               0.009307,               0.009307
                      9,                 1.7221,                  2.262,                 1.8687,                0.30737,                0.28352,                0.19536,                0.07509,                 1.9704,                 2.6643,                 2.3096,               0.009208,               0.009208,               0.009208
                     10,                 1.7024,                 2.2041,                 1.8663,                0.29318,                0.31034,                0.19538,                0.08943,                 1.8777,                 2.5909,                 2.3968,               0.009109,               0.009109,               0.009109
                     11,                 1.7346,                 2.2538,                 1.8861,                0.40763,                0.36398,                0.31484,                0.12845,                 1.9773,                 2.4208,                 2.3462,                0.00901,                0.00901,                0.00901
                     12,                 1.7111,                 2.2074,                 1.8866,                0.29534,                  0.341,                0.21545,                0.09527,                 2.0004,                 2.5163,                 2.5188,               0.008911,               0.008911,               0.008911
                     13,                 1.7075,                 2.2006,                 1.8929,                0.35865,                0.37165,                 0.2705,                 0.1192,                 2.0241,                 2.4219,                 2.3645,               0.008812,               0.008812,               0.008812
                     14,                 1.6101,                   2.18,                 1.7915,                0.45542,                0.35249,                0.27979,                  0.131,                   1.92,                 2.4451,                  2.428,               0.008713,               0.008713,               0.008713
                     15,                 1.6977,                 2.1878,                 1.8738,                0.32216,                0.38605,                0.21025,                0.09468,                 2.0003,                 2.3673,                 2.3962,               0.008614,               0.008614,               0.008614
                     16,                 1.6326,                 2.0733,                 1.8739,                0.41877,                0.41684,                0.30741,                0.15196,                  1.787,                 2.2043,                 2.2392,               0.008515,               0.008515,               0.008515
                     17,                 1.6378,                 2.1029,                  1.874,                0.34691,                0.42146,                0.29571,                0.13907,                 1.8445,                 2.3356,                 2.2573,               0.008416,               0.008416,               0.008416
                     18,                 1.5822,                 2.0764,                 1.7929,                0.38652,                 0.3908,                 0.3093,                0.13265,                 1.7772,                 2.4559,                 2.2358,               0.008317,               0.008317,               0.008317
                     19,                 1.6686,                 2.1104,                 1.8527,                0.38006,                0.43295,                0.30217,                0.14534,                  1.694,                 2.2465,                 2.1153,               0.008218,               0.008218,               0.008218
                     20,                 1.5647,                 1.9471,                 1.7474,                0.44339,                0.47126,                0.38694,                0.17912,                 1.7951,                 2.0827,                 2.2013,               0.008119,               0.008119,               0.008119
                     21,                 1.6209,                 2.0228,                 1.7962,                0.48217,                0.45211,                0.35456,                0.17884,                 1.7322,                 2.1263,                 2.1406,                0.00802,                0.00802,                0.00802
                     22,                 1.6233,                 2.0547,                 1.8231,                 0.4672,                0.43295,                0.37662,                0.18288,                 1.7591,                 2.0025,                 2.1244,               0.007921,               0.007921,               0.007921
                     23,                 1.5523,                 2.0242,                 1.7643,                0.46287,                0.45564,                0.40781,                0.20391,                 1.7283,                 2.0006,                 2.0605,               0.007822,               0.007822,               0.007822
                     24,                 1.5373,                 1.9579,                 1.7608,                 0.4143,                0.45594,                0.35992,                0.17886,                 1.7815,                 2.0744,                 2.1636,               0.007723,               0.007723,               0.007723
                     25,                  1.555,                 1.9399,                  1.773,                 0.4298,                0.42912,                0.39614,                0.21296,                 1.6459,                 2.0281,                 2.0345,               0.007624,               0.007624,               0.007624
                     26,                 1.5593,                 1.9256,                 1.7693,                0.48949,                0.44828,                0.40487,                0.19471,                 1.7529,                 2.0208,                 2.1412,               0.007525,               0.007525,               0.007525
                     27,                  1.564,                 1.9194,                 1.7745,                0.52134,                0.49242,                0.42753,                0.20277,                 1.7424,                 2.0182,                 2.1432,               0.007426,               0.007426,               0.007426
                     28,                 1.5247,                 1.9047,                 1.7644,                0.54384,                0.46137,                0.43847,                0.22804,                 1.6804,                 1.9622,                 2.1182,               0.007327,               0.007327,               0.007327
                     29,                 1.5675,                  1.921,                 1.7722,                 0.5021,                0.44444,                0.37335,                0.18753,                 1.7698,                 2.0013,                  2.165,               0.007228,               0.007228,               0.007228
                     30,                  1.562,                 1.8914,                 1.7731,                0.51679,                0.46714,                0.45221,                0.23208,                 1.7885,                 1.9582,                 2.1396,               0.007129,               0.007129,               0.007129
                     31,                 1.5088,                 1.9033,                 1.7463,                0.48477,                0.51189,                0.44546,                0.23368,                 1.7413,                 1.9726,                 2.0942,                0.00703,                0.00703,                0.00703
                     32,                 1.4934,                 1.8421,                 1.7239,                0.43979,                0.46743,                0.40826,                0.20633,                 1.7414,                   1.96,                 2.0869,               0.006931,               0.006931,               0.006931
                     33,                 1.5002,                 1.8079,                 1.7331,                0.48823,                0.47126,                0.38209,                 0.1862,                 1.6865,                 2.0517,                 2.0441,               0.006832,               0.006832,               0.006832
                     34,                 1.4656,                 1.7274,                 1.6876,                 0.5417,                0.45211,                0.43002,                0.21657,                 1.7131,                 1.9641,                 2.0607,               0.006733,               0.006733,               0.006733
                     35,                 1.4989,                 1.7771,                 1.7549,                0.48968,                0.50958,                0.44524,                0.24073,                  1.649,                 1.8728,                 2.0173,               0.006634,               0.006634,               0.006634
                     36,                 1.4468,                 1.8027,                 1.6514,                0.49574,                0.51724,                0.43834,                0.23424,                 1.6389,                 1.8811,                 2.0207,               0.006535,               0.006535,               0.006535
                     37,                 1.5354,                  1.825,                 1.7606,                0.53424,                0.49425,                0.45468,                 0.2426,                 1.6003,                 1.8457,                 1.9838,               0.006436,               0.006436,               0.006436
                     38,                 1.4805,                 1.7638,                 1.7177,                0.53937,                0.51145,                0.48931,                0.26433,                 1.6274,                 1.7913,                 1.9947,               0.006337,               0.006337,               0.006337
                     39,                 1.4451,                 1.7734,                 1.6484,                0.54109,                 0.4653,                0.40812,                0.21485,                 1.6235,                 1.9503,                 2.0293,               0.006238,               0.006238,               0.006238
                     40,                 1.4516,                  1.684,                 1.6739,                0.53993,                0.56322,                0.50644,                0.26904,                  1.574,                 1.8101,                 1.9776,               0.006139,               0.006139,               0.006139
                     41,                 1.4684,                 1.7746,                 1.7082,                0.51055,                0.50357,                0.44034,                0.23853,                 1.5519,                 1.8211,                 1.9908,                0.00604,                0.00604,                0.00604
                     42,                  1.404,                 1.7181,                 1.6746,                 0.5414,                0.52107,                0.50004,                0.27003,                 1.6071,                 1.7161,                 1.9641,               0.005941,               0.005941,               0.005941
                     43,                 1.4393,                 1.7504,                   1.71,                 0.5718,                0.42465,                0.47063,                0.25624,                 1.5922,                 1.9259,                 2.0267,               0.005842,               0.005842,               0.005842
                     44,                 1.4252,                 1.6614,                 1.6373,                0.59507,                0.50575,                0.51375,                0.27941,                 1.5972,                 1.7346,                  1.977,               0.005743,               0.005743,               0.005743
